Date,True Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2003-1,3.504,3.192736410041905,2.8905584952892585,3.4949143247945513
2003-4,2.911,3.231172944084255,2.912374673922777,3.5499712142457334
2004-2,2.906,3.2584572332327433,2.908397192502051,3.6085172739634355
2015-3,3.1947,2.734968745212198,2.4499476668392868,3.0199898235851093
2015-7,3.4204,3.080984998290986,2.786427256301475,3.3755427402804967
2015-9,3.9478,3.6417235801960595,3.340968776272499,3.94247838411962
2016-3,3.5925,4.044391032818696,3.743472520166415,4.345309545470977
2018-10,3.7218,4.10836721864786,3.795228171541281,4.42150626575444
2019-8,4.1445,3.816725014150967,3.499271736943376,4.134178291358558
2020-3,5.2046,4.503303045213034,4.179964321018419,4.826641769407649
2020-7,5.224,5.591175165373375,5.253581327473406,5.928769003273344
2020-11,5.3319,5.875883070985707,5.535295255326756,6.216470886644658
2021-6,4.9686,5.358140895127293,5.003492981155187,5.712788809099399
2022-1,5.3041,5.693179088566877,5.334756325035717,6.051601852098037
2022-3,4.739,5.233165492628631,4.869681917292179,5.596649067965083
2022-6,5.2562,4.782934107987439,4.413077289117182,5.152790926857695
